tick,node_0_peers,node_1_peers,node_2_peers,node_3_peers,node_4_peers
0,0,0,0,0,0
1010,0,0,0,0,0
2015,0,0,0,0,0
3018,1,2,2,2,1
4021,1,2,2,2,1
5075,1,2,2,2,1
6080,1,2,2,2,1
7083,1,2,2,2,1
8088,1,2,2,2,1
9093,1,2,2,2,1
10098,1,2,2,2,1
11004,1,2,2,2,1
12008,1,2,2,2,1
13011,1,2,2,2,1
14018,1,2,2,2,1
15021,1,2,2,2,1
16025,1,2,2,2,1
17035,1,2,2,2,1
18038,1,2,2,2,1
19043,1,2,2,2,1
20049,1,2,2,2,1
21057,1,2,2,2,1
22063,1,2,2,2,1
23065,1,2,2,2,1
24070,1,2,2,2,1
25076,1,2,2,2,1
26080,1,2,2,2,1
27083,1,2,2,2,1
28087,1,2,2,2,1
29092,1,2,2,2,1
