tick,node_0_peers,node_1_peers,node_2_peers,node_3_peers,node_4_peers
0,0,0,0,0,0
1004,0,0,0,0,0
2007,0,0,0,0,0
3012,1,2,2,2,1
4066,1,2,2,2,1
5070,1,2,2,2,1
6078,1,2,2,2,1
7082,1,2,2,2,1
8087,1,2,2,2,1
9095,1,2,2,2,1
10098,1,2,2,2,1
11001,1,2,2,2,1
12015,1,2,2,2,1
13048,1,2,2,2,1
14054,1,2,2,2,1
15061,1,2,2,2,1
16075,1,2,2,2,1
17084,1,2,2,2,1
18088,1,2,2,2,1
19093,1,2,2,2,1
20020,1,2,2,2,1
21023,1,2,2,2,1
22032,1,2,2,2,1
23040,1,2,2,2,1
24047,1,2,2,2,1
25051,1,2,2,2,1
26059,1,2,2,2,1
27066,1,2,2,2,1
28073,1,2,2,2,1
29078,1,2,2,2,1
