tick,node_0_peers,node_1_peers,node_2_peers,node_3_peers,node_4_peers,node_5_peers,node_6_peers,node_7_peers,node_8_peers,node_9_peers
0,0,0,0,0,0,0,0,0,0,0
1004,0,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0,0,0
3012,9,9,9,9,9,9,9,9,9,9
4027,9,9,9,9,9,9,9,9,9,9
5046,9,9,9,9,9,9,9,9,9,9
6065,9,9,9,9,9,9,9,9,9,9
7088,9,9,9,9,9,9,9,9,9,9
8002,9,9,9,9,9,9,9,9,9,9
9017,9,9,9,9,9,9,9,9,9,9
10024,9,9,9,9,9,9,9,9,9,9
11038,9,9,9,9,9,9,9,9,9,9
12071,9,9,9,9,9,9,9,9,9,9
13082,9,9,9,9,9,9,9,9,9,9
14095,9,9,9,9,9,9,9,9,9,9
15011,9,9,9,9,9,9,9,9,9,9
16030,9,9,9,9,9,9,9,9,9,9
17048,9,9,9,9,9,9,9,9,9,9
18069,9,9,9,9,9,9,9,9,9,9
19083,9,9,9,9,9,9,9,9,9,9
20095,9,9,9,9,9,9,9,9,9,9
21007,9,9,9,9,9,9,9,9,9,9
22021,9,9,9,9,9,9,9,9,9,9
23034,9,9,9,9,9,9,9,9,9,9
24070,9,9,9,9,9,9,9,9,9,9
25081,9,9,9,9,9,9,9,9,9,9
26006,9,9,9,9,9,9,9,9,9,9
27032,9,9,9,9,9,9,9,9,9,9
28047,9,9,9,9,9,9,9,9,9,9
29061,9,9,9,9,9,9,9,9,9,9
