tick,node_0_peers,node_1_peers,node_2_peers,node_3_peers,node_4_peers,node_5_peers,node_6_peers,node_7_peers,node_8_peers,node_9_peers
0,0,0,0,0,0,0,0,0,0,0
1002,0,0,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0,0,0
3012,9,9,9,9,9,9,9,9,9,9
4030,9,9,9,9,9,9,9,9,9,9
5012,9,9,9,9,9,9,9,9,9,9
6024,9,9,9,9,9,9,9,9,9,9
7037,9,9,9,9,9,9,9,9,9,9
8054,9,9,9,9,9,9,9,9,9,9
9074,9,9,9,9,9,9,9,9,9,9
10089,9,9,9,9,9,9,9,9,9,9
11096,9,9,9,9,9,9,9,9,9,9
12006,9,9,9,9,9,9,9,9,9,9
13025,9,9,9,9,9,9,9,9,9,9
14035,9,9,9,9,9,9,9,9,9,9
15047,9,9,9,9,9,9,9,9,9,9
16063,9,9,9,9,9,9,9,9,9,9
17084,9,9,9,9,9,9,9,9,9,9
18014,9,9,9,9,9,9,9,9,9,9
19033,9,9,9,9,9,9,9,9,9,9
20048,9,9,9,9,9,9,9,9,9,9
21062,9,9,9,9,9,9,9,9,9,9
22077,9,9,9,9,9,9,9,9,9,9
23100,9,9,9,9,9,9,9,9,9,9
24031,9,9,9,9,9,9,9,9,9,9
25047,9,9,9,9,9,9,9,9,9,9
26071,9,9,9,9,9,9,9,9,9,9
27079,9,9,9,9,9,9,9,9,9,9
28093,9,9,9,9,9,9,9,9,9,9
29005,9,9,9,9,9,9,9,9,9,9
